1;Azuay;8309,58;375083;337044;Cuenca;712127;9804;1807;11582
2;Bolivar;3945,38;93766;89875;Guaranda;183641;13679;8000;9919
3;Cañar;3146,08;119949;105235;Azogues;225184;1755;14260;9007
4;Carchi;3780,45;83369;81155;Tulcán;164524;4170;8567;7949
5;Chimborazo;6499,72;239180;219401;Riobamba;458581;8678;8397;1670
6;Cotopaxi;409205;210580;198625;Latacunga;409205;8147;8361;8692
7;El Oro;5766,68;304362;296297;Machala;600659;13159;12165;10359
8;Esmeraldas;16132,23;262780;271312;Esmeraldas;534092;3003;12990;13359
9;Galápagos;5766,68;304362;296297;Puerto Baquerizo Moreno;25124;2797;4952;13778
10;Guayas;15430,4;1829569;1815914;Guayaquil;3645483;9257;10422;4465
11;Imbabura;4587,51;204580;193664;Ibarra;398244;7377;7573;11344
12;Loja;448966;228172;220794;Loja;448966;1742;11580;11446
13;Los Ríos;7205,27;380016;398099;Babahoyo;778115;2457;6197;3226
14;Manabí;18939,6;680481;689299;Portoviejo;136978;5518;6055;14412
15;Morona Santiago;24059,4;73091;74849;Macas;14794;5018;1079;4551
16;Napo;103697;50923;52774;Tena;103697;7635;3820;5008
17;Orellana;21692,1;64266;72130;Orellana;136396;14174;13922;2645
18;Pastaza;11062,73;41673;42260;Puyo;83933;1819;8422;8498
19;Pichincha;9535,91;1320576;1255711;Quito;2576287;11536;8898;3365
20;Santa Elena;3690,17;151831;156862;Santa Elena;308693;12087;11708;3772
21;Santo Domingo de los Tsáchilas;3446,65;184955;183058;Santo Domingo;368013;9529;7862;12132
22;Sucumbios;18084,42;83624;92848;Lago Agrio;176472;2273;4628;10627
23;Tungurahua;3386,25;259800;244783;Ambato;504583;14603;2935;1042
24;Zamora Chinchipe;10584,28;43924;47452;Zamora;91376;7345;14813;12798
